,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,74,56,,fim_partida,
1,4,00:19,74,56,BOT,LL_Pts_C,Átila
2,4,00:19,74,55,BOT,LL_Pts_C,Átila
3,4,00:19,74,54,MIN,substituicao_entra,Parisotto
4,4,00:19,74,54,MIN,substituicao_sai,Roquemore
5,4,00:19,74,54,BOT,FR,Átila
6,4,00:19,74,54,MIN,FC,Big
7,4,00:20,74,54,BOT,RO,Douglas
8,4,00:22,74,54,BOT,3_Pts_T,Gabriel
9,4,00:39,74,54,MIN,substituicao_entra,Augusto
10,4,00:39,74,54,MIN,substituicao_sai,Gegê
11,4,00:39,74,54,MIN,substituicao_entra,Big
12,4,00:39,74,54,MIN,substituicao_sai,Teichmann
13,4,00:39,74,54,BOT,BR,Gabriel
14,4,00:39,74,54,MIN,ER,Gegê
15,4,00:54,74,54,MIN,RD,Lelê
16,4,00:56,74,54,BOT,LL_Pts_T,Douglas
17,4,00:56,74,54,BOT,LL_Pts_T,Douglas
18,4,00:56,74,54,BOT,FR,Douglas
19,4,00:56,74,54,MIN,FC,Lelê
20,4,01:12,74,54,MIN,AS,Gegê
21,4,01:12,74,54,MIN,2_Pts_C,Teichmann
22,4,01:35,72,54,MIN,substituicao_entra,Lelê
23,4,01:35,72,54,MIN,substituicao_sai,Wesley
24,4,01:35,72,54,MIN,RD,Minas
25,4,01:39,72,54,BOT,3_Pts_T,Arnaldinho
26,4,02:01,72,54,BOT,tempo_tecnico,Botafogo
27,4,02:01,72,54,BOT,tempo_tecnico,Botafogo
28,4,02:02,72,54,MIN,AS,Teichmann
29,4,02:02,72,54,MIN,2_Pts_C,Jefferson
30,4,02:03,70,54,MIN,RD,Teichmann
31,4,02:07,70,54,MIN,TO,Teichmann
32,4,02:07,70,54,BOT,2_Pts_T,Gabriel
33,4,02:08,70,54,BOT,RO,Gabriel
34,4,02:12,70,54,MIN,TO,Teichmann
35,4,02:12,70,54,BOT,2_Pts_T,Átila
36,4,02:31,70,54,MIN,AS,Gegê
37,4,02:31,70,54,MIN,LL_Pts_C,Wesley
38,4,02:31,69,54,MIN,LL_Pts_C,Wesley
39,4,02:31,68,54,MIN,FR,Wesley
40,4,02:31,68,54,BOT,FC,Douglas
41,4,02:53,68,54,MIN,RD,Teichmann
42,4,02:53,68,54,BOT,LL_Pts_T,Átila
43,4,02:53,68,54,BOT,LL_Pts_T,Átila
44,4,02:53,68,54,MIN,substituicao_entra,Teichmann
45,4,02:53,68,54,MIN,substituicao_sai,Rush
46,4,02:57,68,54,BOT,FR,Átila
47,4,02:57,68,54,MIN,FC,Rush
48,4,02:58,68,54,BOT,RO,Átila
49,4,03:00,68,54,MIN,TO,Rush
