,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,85,76,,fim_partida,
1,4,00:01,85,76,CEA,EN,Betinho
2,4,00:03,83,76,CEA,BR,Leonardo
3,4,00:03,83,76,VAS,ER,Nezinho
4,4,00:07,83,76,VAS,FR,Renato
5,4,00:07,83,76,CEA,FC,Leonardo
6,4,00:09,83,76,VAS,substituicao_entra,Guilherme
7,4,00:09,83,76,VAS,substituicao_sai,Gustavo
8,4,00:09,83,76,VAS,tempo_tecnico,Vasco da Gama
9,4,00:09,83,76,CEA,LL_Pts_C,Paulinho
10,4,00:09,82,76,CEA,LL_Pts_C,Paulinho
11,4,00:09,81,76,CEA,FR,Paulinho
12,4,00:09,81,76,VAS,FC,Nezinho
13,4,00:14,81,76,VAS,substituicao_entra,Renato
14,4,00:14,81,76,VAS,substituicao_sai,Lucas
15,4,00:14,81,76,CEA,LL_Pts_T,Betinho
16,4,00:14,81,76,CEA,LL_Pts_C,Betinho
17,4,00:14,80,76,CEA,FR,Betinho
18,4,00:14,80,76,VAS,FC_A,Lucas
19,4,00:14,80,76,CEA,RD,Leonardo
20,4,00:17,80,76,VAS,3_Pts_T,Fúlvio
21,4,00:25,80,76,CEA,AS,Davi
22,4,00:25,80,76,CEA,3_Pts_C,Rashaun
23,4,00:48,77,76,VAS,substituicao_entra,Gustavo
24,4,00:48,77,76,VAS,substituicao_sai,Guilherme
25,4,00:48,77,76,CEA,substituicao_entra,Betinho
26,4,00:48,77,76,CEA,substituicao_sai,B Fiorotto
27,4,00:48,77,76,CEA,FR,Davi
28,4,00:48,77,76,VAS,ER,Fúlvio
29,4,00:48,77,76,VAS,FC_O,Fúlvio
30,4,00:57,77,76,CEA,substituicao_entra,Leonardo
31,4,00:57,77,76,CEA,substituicao_sai,Betinho
32,4,00:57,77,76,VAS,LL_Pts_C,Nezinho
33,4,00:57,77,75,VAS,LL_Pts_C,Nezinho
34,4,00:57,77,74,VAS,FR,Nezinho
35,4,00:57,77,74,CEA,FC_A,Paulinho
36,4,00:57,77,74,VAS,BR,Nezinho
37,4,00:57,77,74,CEA,ER,Paulinho
38,4,01:16,77,74,CEA,BR,Paulinho
39,4,01:16,77,74,VAS,ER,Guilherme
40,4,01:26,77,74,VAS,RD,Lucas
41,4,01:29,77,74,CEA,2_Pts_T,Betinho
42,4,01:42,77,74,CEA,RD,Betinho
43,4,01:45,77,74,VAS,3_Pts_T,Nezinho
44,4,02:07,77,74,VAS,tempo_tecnico,Vasco da Gama
45,4,02:07,77,74,CEA,3_Pts_C,Paulinho
46,4,02:18,74,74,CEA,RD,B Fiorotto
47,4,02:20,74,74,VAS,2_Pts_T,Lucas
48,4,02:34,74,74,VAS,RD,Fúlvio
49,4,02:36,74,74,CEA,3_Pts_T,Davi
50,4,02:53,74,74,CEA,RD,Betinho
51,4,02:56,74,74,VAS,2_Pts_T,Lucas
52,4,03:14,74,74,CEA,LL_Pts_C,Betinho
53,4,03:14,73,74,CEA,LL_Pts_C,Betinho
54,4,03:14,72,74,CEA,FR,Betinho
55,4,03:14,72,74,VAS,FC,Nezinho
56,4,03:16,72,74,CEA,RD,Betinho
57,4,03:20,72,74,VAS,2_Pts_T,Jackson
58,4,03:32,72,74,VAS,LL_Pts_C,Jackson
59,4,03:32,72,73,CEA,FC_T,Davi
60,4,03:36,72,73,CEA,2_Pts_C,Davi
61,4,03:46,70,73,CEA,RD,B Fiorotto
62,4,03:49,70,73,VAS,2_Pts_T,Fúlvio
63,4,04:05,70,73,CEA,2_Pts_C,Betinho
64,4,04:17,68,73,VAS,2_Pts_C,Fúlvio
65,4,04:26,68,71,VAS,RD,Lucas
66,4,04:29,68,71,CEA,2_Pts_T,Betinho
67,4,04:58,68,71,VAS,ER,Jackson
68,4,05:04,68,71,VAS,BR,Jackson
69,4,05:04,68,71,CEA,ER,Paulinho
70,4,05:10,68,71,VAS,2_Pts_C,Jackson
71,4,05:36,68,69,CEA,2_Pts_T,B Fiorotto
72,4,05:42,68,69,CEA,RO,B Fiorotto
73,4,05:42,68,69,CEA,2_Pts_T,Betinho
74,4,05:59,68,69,CEA,substituicao_entra,B Fiorotto
75,4,05:59,68,69,CEA,substituicao_sai,Leonardo
76,4,06:01,68,69,CEA,RD,Leonardo
77,4,06:04,68,69,VAS,2_Pts_T,Lucas
78,4,06:25,68,69,VAS,substituicao_entra,Lucas
79,4,06:25,68,69,VAS,substituicao_sai,Renato
80,4,06:25,68,69,VAS,tempo_tecnico,Vasco da Gama
81,4,06:27,68,69,CEA,AS,Betinho
82,4,06:27,68,69,CEA,3_Pts_C,Paulinho
83,4,06:41,65,69,CEA,RD,Leonardo
84,4,06:43,65,69,VAS,3_Pts_T,Renato
85,4,06:54,65,69,VAS,FR,Renato
86,4,06:54,65,69,CEA,FC,Davi
87,4,07:09,65,69,CEA,3_Pts_C,Rashaun
88,4,07:19,62,69,VAS,substituicao_entra,Jackson
89,4,07:19,62,69,VAS,substituicao_sai,Gustavo
90,4,07:19,62,69,CEA,tempo_tecnico,Basq Cearense
91,4,07:19,62,69,CEA,FR,Rashaun
92,4,07:19,62,69,VAS,FC,Guilherme
93,4,07:34,62,69,VAS,2_Pts_C,Fúlvio
94,4,07:45,62,67,CEA,2_Pts_C,Davi
95,4,07:52,60,67,CEA,substituicao_entra,Leonardo
96,4,07:52,60,67,CEA,substituicao_sai,B Fiorotto
97,4,07:52,60,67,CEA,substituicao_entra,Davi
98,4,07:52,60,67,CEA,substituicao_sai,Sualisson
99,4,07:52,60,67,CEA,FR,Betinho
100,4,07:52,60,67,VAS,FC,Gustavo
101,4,08:10,60,67,VAS,2_Pts_C,Fúlvio
102,4,08:25,60,65,CEA,2_Pts_C,Paulinho
103,4,08:45,58,65,VAS,3_Pts_C,Nezinho
104,4,09:04,58,62,CEA,2_Pts_C,Rashaun
105,4,09:13,56,62,CEA,RD,Sualisson
106,4,09:18,56,62,CEA,TO,B Fiorotto
107,4,09:18,56,62,VAS,2_Pts_T,Gustavo
108,4,09:24,56,62,VAS,BR,Fúlvio
109,4,09:24,56,62,CEA,ER,Betinho
110,4,09:42,56,62,CEA,BR,Rashaun
111,4,09:42,56,62,VAS,ER,Fúlvio
112,4,10:00,56,62,,inicio_quarto,
113,3,00:00,56,62,,fim_quarto,
114,3,00:02,56,62,VAS,AS,Nezinho
115,3,00:02,56,62,VAS,3_Pts_C,Guilherme
116,3,00:24,56,59,CEA,2_Pts_C,Betinho
117,3,00:36,54,59,VAS,substituicao_entra,Guilherme
118,3,00:36,54,59,VAS,substituicao_sai,Hayes
119,3,00:36,54,59,CEA,FR,B Fiorotto
120,3,00:36,54,59,VAS,ER,Gustavo
121,3,00:36,54,59,VAS,FC_O,Gustavo
122,3,00:37,54,59,CEA,substituicao_entra,Sualisson
123,3,00:37,54,59,CEA,substituicao_sai,Leal
124,3,00:37,54,59,CEA,LL_Pts_C,Paulinho
125,3,00:37,53,59,CEA,LL_Pts_C,Paulinho
126,3,00:37,52,59,CEA,FR,Paulinho
127,3,00:37,52,59,VAS,FC,Gustavo
128,3,00:44,52,59,CEA,RD,B Fiorotto
129,3,00:46,52,59,VAS,2_Pts_T,Fúlvio
130,3,00:54,52,59,VAS,RD,Fúlvio
131,3,00:57,52,59,CEA,3_Pts_T,Betinho
132,3,01:05,52,59,CEA,RD,Rashaun
133,3,01:08,52,59,VAS,3_Pts_T,Gustavo
134,3,01:26,52,59,VAS,RD,Hayes
135,3,01:27,52,59,CEA,LL_Pts_T,Leal
136,3,01:27,52,59,CEA,LL_Pts_T,Leal
137,3,01:27,52,59,CEA,FR,Leal
138,3,01:27,52,59,VAS,FC,Hayes
139,3,01:27,52,59,CEA,RO,Basq Cearense
140,3,01:27,52,59,CEA,3_Pts_T,Rashaun
141,3,01:44,52,59,VAS,AS,Nezinho
142,3,01:44,52,59,VAS,3_Pts_C,Hayes
143,3,02:02,52,56,CEA,LL_Pts_C,Betinho
144,3,02:02,51,56,CEA,LL_Pts_C,Betinho
145,3,02:02,50,56,CEA,FR,Betinho
146,3,02:02,50,56,VAS,FC,Hayes
147,3,02:05,50,56,CEA,RD,Betinho
148,3,02:08,50,56,VAS,2_Pts_T,Renato
149,3,02:21,50,56,VAS,RD,Renato
150,3,02:22,50,56,CEA,LL_Pts_T,Leal
151,3,02:22,50,56,CEA,LL_Pts_C,Leal
152,3,02:22,49,56,CEA,FR,Leal
153,3,02:22,49,56,VAS,FC,Hayes
154,3,02:23,49,56,CEA,RO,Leal
155,3,02:25,49,56,CEA,2_Pts_T,Leal
156,3,02:27,49,56,CEA,RO,B Fiorotto
157,3,02:29,49,56,CEA,3_Pts_T,Betinho
158,3,02:42,49,56,CEA,RO,Paulinho
159,3,02:44,49,56,CEA,3_Pts_T,B Fiorotto
160,3,02:49,49,56,CEA,FR,B Fiorotto
161,3,02:49,49,56,VAS,FC,Renato
162,3,03:02,49,56,VAS,3_Pts_C,Fúlvio
163,3,03:11,49,53,CEA,substituicao_entra,Rashaun
164,3,03:11,49,53,CEA,substituicao_sai,Davi
165,3,03:11,49,53,VAS,FR,Renato
166,3,03:11,49,53,CEA,FC,Leal
167,3,03:11,49,53,VAS,RD,Renato
168,3,03:13,49,53,CEA,2_Pts_T,Paulinho
169,3,03:15,49,53,CEA,RD,B Fiorotto
170,3,03:21,49,53,VAS,2_Pts_T,Nezinho
171,3,03:33,49,53,VAS,RD,Renato
172,3,03:36,49,53,CEA,3_Pts_T,Davi
173,3,03:45,49,53,CEA,BR,Leal
174,3,03:45,49,53,VAS,ER,Hayes
175,3,04:06,49,53,CEA,ER,B Fiorotto
176,3,04:07,49,53,VAS,substituicao_entra,Gustavo
177,3,04:07,49,53,VAS,substituicao_sai,Jackson
178,3,04:16,49,53,CEA,RD,Leal
179,3,04:19,49,53,VAS,2_Pts_T,Hayes
180,3,04:32,49,53,CEA,substituicao_entra,Betinho
181,3,04:32,49,53,CEA,substituicao_sai,Rashaun
182,3,04:32,49,53,CEA,substituicao_entra,Leal
183,3,04:32,49,53,CEA,substituicao_sai,Leonardo
184,3,04:32,49,53,VAS,substituicao_entra,Hayes
185,3,04:32,49,53,VAS,substituicao_sai,Lucas
186,3,04:32,49,53,VAS,substituicao_entra,Nezinho
187,3,04:32,49,53,VAS,substituicao_sai,Guilherme
188,3,04:32,49,53,VAS,substituicao_entra,Renato
189,3,04:32,49,53,VAS,substituicao_sai,Deodato
190,3,04:32,49,53,VAS,FR,Jackson
191,3,04:32,49,53,CEA,FC,Paulinho
192,3,04:40,49,53,CEA,2_Pts_C,Davi
193,3,04:58,47,53,VAS,AS,Fúlvio
194,3,04:58,47,53,VAS,3_Pts_C,Jackson
195,3,05:15,47,50,CEA,2_Pts_C,Leonardo
196,3,05:35,45,50,VAS,AS,Guilherme
197,3,05:35,45,50,VAS,2_Pts_C,Lucas
198,3,05:45,45,48,VAS,RD,Guilherme
199,3,05:49,45,48,CEA,2_Pts_T,Leonardo
200,3,06:00,45,48,VAS,2_Pts_C,Deodato
201,3,06:05,45,46,VAS,RO,Deodato
202,3,06:05,45,46,VAS,3_Pts_T,Guilherme
203,3,06:17,45,46,CEA,AS,Davi
204,3,06:17,45,46,CEA,3_Pts_C,Paulinho
205,3,06:24,42,46,CEA,FR,Davi
206,3,06:24,42,46,VAS,FC,Jackson
207,3,06:33,42,46,CEA,RD,Davi
208,3,06:36,42,46,VAS,3_Pts_T,Lucas
209,3,06:48,42,46,CEA,ER,Leonardo
210,3,07:01,42,46,CEA,RO,Paulinho
211,3,07:03,42,46,CEA,3_Pts_T,Davi
212,3,07:30,42,46,VAS,AS,Fúlvio
213,3,07:30,42,46,VAS,LL_Pts_C,Lucas
214,3,07:30,42,45,VAS,LL_Pts_C,Lucas
215,3,07:30,42,44,VAS,FR,Lucas
216,3,07:30,42,44,CEA,FC,B Fiorotto
217,3,07:52,42,44,VAS,RD,Vasco da Gama
218,3,07:57,42,44,CEA,2_Pts_T,Paulinho
219,3,08:06,42,44,CEA,FR,Leonardo
220,3,08:06,42,44,VAS,FC,Fúlvio
221,3,08:06,42,44,CEA,RD,Leonardo
222,3,08:06,42,44,VAS,2_Pts_T,Guilherme
