,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,72,69,,fim_partida,
1,4,00:02,72,69,BAU,AS,Alex
2,4,00:02,72,69,BAU,2_Pts_C,Duda
3,4,00:02,72,67,BAU,RO,Bauru
4,4,00:02,72,67,BAU,3_Pts_T,Isaac
5,4,00:10,72,67,BAU,FR,Isaac
6,4,00:10,72,67,MOG,ER,Shamell
7,4,00:10,72,67,MOG,FC_O,Shamell
8,4,00:20,72,67,BAU,ER,Alex
9,4,00:26,72,67,MOG,LL_Pts_C,Tyrone
10,4,00:26,71,67,MOG,LL_Pts_C,Tyrone
11,4,00:26,70,67,BAU,substituicao_entra,Hettsheimeir
12,4,00:26,70,67,BAU,substituicao_sai,Jaú
13,4,00:26,70,67,MOG,FR,Tyrone
14,4,00:26,70,67,BAU,FC,Jaú
15,4,00:30,70,67,BAU,substituicao_entra,Jaú
16,4,00:30,70,67,BAU,substituicao_sai,Hettsheimeir
17,4,00:30,70,67,BAU,LL_Pts_C,Alex
18,4,00:30,70,66,BAU,LL_Pts_T,Alex
19,4,00:30,70,66,BAU,FR,Alex
20,4,00:30,70,66,MOG,FC,Tyrone
21,4,00:30,70,66,BAU,BR,Alex
22,4,00:30,70,66,MOG,ER,Tyrone
23,4,00:30,70,66,MOG,BR,Shamell
24,4,00:30,70,66,BAU,ER,Osvaldo
25,4,00:46,70,66,MOG,substituicao_entra,Fabricio
26,4,00:46,70,66,MOG,substituicao_sai,Wesley
27,4,00:46,70,66,BAU,tempo_tecnico,Bauru
28,4,00:46,70,66,MOG,LL_Pts_C,Shamell
29,4,00:46,69,66,MOG,LL_Pts_C,Shamell
30,4,00:46,68,66,BAU,substituicao_entra,Hettsheimeir
31,4,00:46,68,66,BAU,substituicao_sai,Jaú
32,4,00:46,68,66,MOG,substituicao_entra,Wesley
33,4,00:46,68,66,MOG,substituicao_sai,Filipin
34,4,00:46,68,66,MOG,FR,Shamell
35,4,00:46,68,66,BAU,FC,Duda
36,4,01:02,68,66,MOG,tempo_tecnico,Mogi
37,4,01:03,68,66,BAU,AS,Alex
38,4,01:03,68,66,BAU,3_Pts_C,Duda
39,4,01:10,68,63,BAU,RD,Osvaldo
40,4,01:14,68,63,MOG,3_Pts_T,Shamell
41,4,01:38,68,63,MOG,substituicao_entra,Filipin
42,4,01:38,68,63,MOG,substituicao_sai,Wesley
43,4,01:38,68,63,BAU,substituicao_entra,Jaú
44,4,01:38,68,63,BAU,substituicao_sai,Hettsheimeir
45,4,01:38,68,63,BAU,LL_Pts_C,Hettsheimeir
46,4,01:38,68,62,BAU,LL_Pts_C,Hettsheimeir
47,4,01:38,68,61,BAU,FR,Hettsheimeir
48,4,01:38,68,61,MOG,FC,Jimmy
49,4,01:43,68,61,BAU,tempo_tecnico,Bauru
50,4,01:43,68,61,MOG,LL_Pts_C,Shamell
51,4,01:43,67,61,MOG,FR,Shamell
52,4,01:43,67,61,BAU,FC,Osvaldo
53,4,01:43,67,61,MOG,2_Pts_C,Shamell
54,4,02:00,65,61,MOG,RD,Tyrone
55,4,02:01,65,61,BAU,LL_Pts_T,Hettsheimeir
56,4,02:01,65,61,BAU,LL_Pts_C,Hettsheimeir
57,4,02:01,65,60,MOG,substituicao_entra,Wesley
58,4,02:01,65,60,MOG,substituicao_sai,C Torres
59,4,02:01,65,60,BAU,FR,Hettsheimeir
60,4,02:01,65,60,MOG,FC,C Torres
61,4,02:11,65,60,BAU,RD,Isaac
62,4,02:14,65,60,MOG,3_Pts_T,Shamell
63,4,02:35,65,60,BAU,ER,Duda
64,4,02:49,65,60,MOG,AS,Jimmy
65,4,02:49,65,60,MOG,2_Pts_C,C Torres
66,4,03:16,63,60,BAU,AS,Osvaldo
67,4,03:16,63,60,BAU,2_Pts_C,Hettsheimeir
68,4,03:36,63,58,MOG,AS,Larry
69,4,03:36,63,58,MOG,2_Pts_C,C Torres
70,4,03:51,61,58,BAU,2_Pts_C,Osvaldo
71,4,03:57,61,56,BAU,RO,Osvaldo
72,4,03:59,61,56,BAU,3_Pts_T,Hettsheimeir
73,4,04:17,61,56,MOG,LL_Pts_C,Tyrone
74,4,04:17,60,56,MOG,FR,Tyrone
75,4,04:17,60,56,BAU,FC,Osvaldo
76,4,04:17,60,56,MOG,2_Pts_C,Tyrone
77,4,04:22,58,56,BAU,substituicao_entra,Hettsheimeir
78,4,04:22,58,56,BAU,substituicao_sai,Shilton
79,4,04:22,58,56,MOG,FR,C Torres
80,4,04:22,58,56,BAU,FC,Shilton
81,4,04:36,58,56,BAU,substituicao_entra,Shilton
82,4,04:36,58,56,BAU,substituicao_sai,Hettsheimeir
83,4,04:51,58,56,MOG,tempo_tecnico,Mogi
84,4,04:51,58,56,MOG,FR,C Torres
85,4,04:51,58,56,BAU,ER,Hettsheimeir
86,4,04:51,58,56,BAU,FC_O,Hettsheimeir
87,4,05:01,58,56,BAU,RD,Osvaldo
88,4,05:05,58,56,MOG,3_Pts_T,Larry
89,4,05:23,58,56,BAU,AS,Duda
90,4,05:23,58,56,BAU,2_Pts_C,Hettsheimeir
91,4,05:31,58,54,BAU,RD,Osvaldo
92,4,05:34,58,54,MOG,3_Pts_T,Shamell
93,4,05:57,58,54,BAU,LL_Pts_C,Hettsheimeir
94,4,05:57,58,53,BAU,LL_Pts_C,Hettsheimeir
95,4,05:57,58,52,BAU,FR,Hettsheimeir
96,4,05:57,58,52,MOG,FC,C Torres
97,4,06:08,58,52,MOG,AS,C Torres
98,4,06:08,58,52,MOG,3_Pts_C,Shamell
99,4,06:27,55,52,BAU,LL_Pts_C,Hettsheimeir
100,4,06:27,55,51,BAU,LL_Pts_C,Hettsheimeir
101,4,06:27,55,50,BAU,FR,Hettsheimeir
102,4,06:27,55,50,MOG,FC,C Torres
103,4,06:36,55,50,MOG,substituicao_entra,C Torres
104,4,06:36,55,50,MOG,substituicao_sai,Filipin
105,4,06:36,55,50,BAU,RO,Bauru
106,4,06:36,55,50,MOG,TO,Tyrone
107,4,06:36,55,50,BAU,2_Pts_T,Osvaldo
108,4,06:40,55,50,BAU,BR,Osvaldo
109,4,06:40,55,50,MOG,ER,Shamell
110,4,07:08,55,50,BAU,3_Pts_C,Duda
111,4,07:22,55,47,BAU,substituicao_entra,Hettsheimeir
112,4,07:22,55,47,BAU,substituicao_sai,Jaú
113,4,07:22,55,47,BAU,substituicao_entra,Duda
114,4,07:22,55,47,BAU,substituicao_sai,Stefano
115,4,07:22,55,47,BAU,tempo_tecnico,Bauru
116,4,07:22,55,47,MOG,AS,Larry
117,4,07:22,55,47,MOG,2_Pts_C,Jimmy
118,4,07:29,53,47,MOG,BR,Shamell
119,4,07:29,53,47,BAU,ER,Alex
120,4,07:50,53,47,MOG,2_Pts_C,Shamell
121,4,08:08,51,47,BAU,LL_Pts_C,Jaú
122,4,08:08,51,46,BAU,LL_Pts_T,Jaú
123,4,08:08,51,46,BAU,FR,Jaú
124,4,08:08,51,46,MOG,FC,Jimmy
125,4,08:23,51,46,MOG,substituicao_entra,Jimmy
126,4,08:23,51,46,MOG,substituicao_sai,Fabricio
127,4,08:23,51,46,MOG,ER,Tyrone
128,4,08:31,51,46,MOG,substituicao_entra,Tyrone
129,4,08:31,51,46,MOG,substituicao_sai,Wesley
130,4,08:31,51,46,BAU,substituicao_entra,Alex
131,4,08:31,51,46,BAU,substituicao_sai,Renan
132,4,08:31,51,46,MOG,FR,Wesley
133,4,08:31,51,46,BAU,FC,Renan
134,4,08:39,51,46,MOG,FR,Shamell
135,4,08:39,51,46,BAU,ER,Renan
136,4,08:39,51,46,BAU,FC_O,Renan
137,4,08:42,51,46,BAU,RO,Renan
138,4,08:45,51,46,BAU,3_Pts_T,Isaac
139,4,09:00,51,46,BAU,LL_Pts_T,Stefano
140,4,09:00,51,46,BAU,LL_Pts_C,Stefano
141,4,09:00,51,45,BAU,FR,Stefano
142,4,09:00,51,45,MOG,FC_A,Wesley
143,4,09:00,51,45,BAU,FR,Stefano
144,4,09:00,51,45,MOG,FC,Wesley
145,4,09:13,51,45,BAU,RD,Bauru
146,4,09:13,51,45,MOG,2_Pts_T,Shamell
147,4,09:35,51,45,MOG,RD,Shamell
148,4,09:39,51,45,BAU,3_Pts_T,Osvaldo
149,4,09:45,51,45,BAU,FR,Renan
150,4,09:45,51,45,MOG,FC,Filipin
151,4,10:00,51,45,,inicio_quarto,
152,3,00:00,51,45,,fim_quarto,
153,3,00:07,51,45,BAU,BR,Jaú
154,3,00:07,51,45,MOG,ER,Vithinho
155,3,00:07,51,45,MOG,RD,Wesley
156,3,00:07,51,45,BAU,2_Pts_T,Stefano
157,3,00:30,51,45,MOG,substituicao_entra,Wesley
158,3,00:30,51,45,MOG,substituicao_sai,Tyrone
159,3,00:30,51,45,MOG,LL_Pts_C,Tyrone
160,3,00:30,50,45,MOG,LL_Pts_C,Tyrone
161,3,00:30,49,45,MOG,FR,Tyrone
162,3,00:30,49,45,BAU,FC,Alex
163,3,00:44,49,45,BAU,AS,Stefano
164,3,00:44,49,45,BAU,2_Pts_C,Renan
165,3,00:48,49,43,BAU,RD,Renan
166,3,00:51,49,43,MOG,2_Pts_T,Tyrone
167,3,01:08,49,43,MOG,RD,Tyrone
168,3,01:09,49,43,BAU,LL_Pts_T,Renan
169,3,01:09,49,43,BAU,LL_Pts_T,Renan
170,3,01:09,49,43,MOG,substituicao_entra,Larry
171,3,01:09,49,43,MOG,substituicao_sai,Jimmy
172,3,01:09,49,43,BAU,FR,Renan
173,3,01:09,49,43,MOG,FC,Filipin
174,3,01:17,49,43,BAU,RD,Alex
175,3,01:21,49,43,MOG,2_Pts_T,Tyrone
176,3,01:42,49,43,BAU,AS,Stefano
177,3,01:42,49,43,BAU,3_Pts_C,Renan
178,3,02:01,49,40,MOG,LL_Pts_C,Tyrone
179,3,02:01,48,40,MOG,LL_Pts_T,Tyrone
180,3,02:01,48,40,BAU,substituicao_entra,Stefano
181,3,02:01,48,40,BAU,substituicao_sai,Duda
182,3,02:01,48,40,MOG,FR,Tyrone
183,3,02:01,48,40,BAU,FC,Duda
184,3,02:01,48,40,MOG,RD,Tyrone
185,3,02:01,48,40,BAU,2_Pts_T,Duda
186,3,02:18,48,40,MOG,substituicao_entra,Tyrone
187,3,02:18,48,40,MOG,substituicao_sai,C Torres
188,3,02:18,48,40,MOG,LL_Pts_C,Jimmy
189,3,02:18,47,40,MOG,LL_Pts_C,Jimmy
190,3,02:18,46,40,BAU,substituicao_entra,Jaú
191,3,02:18,46,40,BAU,substituicao_sai,Shilton
192,3,02:18,46,40,MOG,FR,Jimmy
193,3,02:18,46,40,BAU,FC,Shilton
194,3,02:38,46,40,MOG,RD,Mogi
195,3,02:39,46,40,BAU,3_Pts_T,Alex
196,3,02:56,46,40,BAU,substituicao_entra,Isaac
197,3,02:56,46,40,BAU,substituicao_sai,Osvaldo
198,3,02:56,46,40,MOG,substituicao_entra,Filipin
199,3,02:56,46,40,MOG,substituicao_sai,Shamell
200,3,02:56,46,40,MOG,ER,Vithinho
201,3,03:10,46,40,BAU,AS,Duda
202,3,03:10,46,40,BAU,2_Pts_C,Renan
203,3,03:22,46,38,MOG,ER,Shamell
204,3,03:41,46,38,MOG,RD,C Torres
205,3,03:43,46,38,BAU,LL_Pts_T,Osvaldo
206,3,03:43,46,38,MOG,substituicao_entra,Vithinho
207,3,03:43,46,38,MOG,substituicao_sai,Larry
208,3,03:43,46,38,MOG,substituicao_entra,C Torres
209,3,03:43,46,38,MOG,substituicao_sai,Tyrone
210,3,03:43,46,38,BAU,FR,Osvaldo
211,3,03:43,46,38,MOG,FC,Fabricio
212,3,03:43,46,38,BAU,2_Pts_C,Osvaldo
213,3,03:43,46,36,BAU,RO,Osvaldo
214,3,03:45,46,36,BAU,3_Pts_T,Osvaldo
215,3,04:01,46,36,MOG,AS,Tyrone
216,3,04:01,46,36,MOG,2_Pts_C,Larry
217,3,04:20,44,36,BAU,AS,Alex
218,3,04:20,44,36,BAU,2_Pts_C,Shilton
219,3,04:31,44,34,MOG,LL_Pts_C,Shamell
220,3,04:31,43,34,MOG,LL_Pts_C,Shamell
221,3,04:31,42,34,MOG,FR,Shamell
222,3,04:31,42,34,BAU,FC,Shilton
223,3,04:41,42,34,MOG,RD,Jimmy
224,3,04:46,42,34,BAU,3_Pts_T,Duda
225,3,05:02,42,34,MOG,2_Pts_C,Jimmy
226,3,05:15,40,34,MOG,substituicao_entra,Fabricio
227,3,05:15,40,34,MOG,substituicao_sai,C Torres
228,3,05:15,40,34,BAU,substituicao_entra,Shilton
229,3,05:15,40,34,BAU,substituicao_sai,Hettsheimeir
230,3,05:15,40,34,MOG,FR,C Torres
231,3,05:15,40,34,BAU,FC,Hettsheimeir
232,3,05:35,40,34,MOG,FR,Larry
233,3,05:35,40,34,BAU,FC,Renan
234,3,05:50,40,34,BAU,LL_Pts_C,Hettsheimeir
235,3,05:50,40,33,BAU,LL_Pts_T,Hettsheimeir
236,3,05:50,40,33,BAU,FR,Hettsheimeir
237,3,05:50,40,33,MOG,FC,Larry
238,3,05:50,40,33,BAU,RO,Hettsheimeir
239,3,05:52,40,33,BAU,3_Pts_T,Osvaldo
240,3,05:56,40,33,MOG,substituicao_entra,C Torres
241,3,05:56,40,33,MOG,substituicao_sai,Wesley
242,3,05:56,40,33,BAU,FR,Hettsheimeir
243,3,05:56,40,33,MOG,FC,Wesley
244,3,06:09,40,33,BAU,BR,Osvaldo
245,3,06:09,40,33,MOG,ER,Shamell
246,3,06:20,40,33,MOG,RD,Wesley
247,3,06:24,40,33,BAU,2_Pts_T,Hettsheimeir
248,3,06:44,40,33,MOG,2_Pts_C,Jimmy
249,3,07:00,38,33,BAU,2_Pts_C,Duda
250,3,07:07,38,31,BAU,RD,Osvaldo
251,3,07:11,38,31,MOG,2_Pts_T,Tyrone
252,3,07:25,38,31,MOG,FR,Jimmy
253,3,07:25,38,31,BAU,ER,Alex
254,3,07:25,38,31,BAU,FC_O,Alex
255,3,07:27,38,31,BAU,RD,Renan
256,3,07:31,38,31,MOG,3_Pts_T,Jimmy
257,3,07:36,38,31,MOG,BR,Larry
258,3,07:36,38,31,BAU,ER,Alex
259,3,07:38,38,31,BAU,RD,Alex
260,3,07:41,38,31,MOG,2_Pts_T,Larry
261,3,07:51,38,31,BAU,LL_Pts_C,Hettsheimeir
262,3,07:51,38,30,BAU,LL_Pts_C,Hettsheimeir
263,3,07:51,38,29,BAU,FR,Hettsheimeir
264,3,07:51,38,29,MOG,FC,Tyrone
265,3,07:51,38,29,BAU,RO,Hettsheimeir
266,3,07:51,38,29,BAU,2_Pts_T,Hettsheimeir
267,3,08:12,38,29,MOG,2_Pts_C,Jimmy
268,3,08:18,36,29,MOG,RD,Larry
269,3,08:24,36,29,BAU,3_Pts_T,Hettsheimeir
270,3,08:28,36,29,BAU,RD,Osvaldo
271,3,08:32,36,29,MOG,2_Pts_T,Shamell
272,3,08:55,36,29,MOG,RD,Mogi
273,3,08:57,36,29,BAU,3_Pts_T,Osvaldo
274,3,09:16,36,29,MOG,AS,Shamell
275,3,09:16,36,29,MOG,3_Pts_C,Tyrone
276,3,09:21,33,29,MOG,BR,Shamell
277,3,09:21,33,29,BAU,ER,Hettsheimeir
278,3,09:40,33,29,BAU,RD,Hettsheimeir
279,3,09:44,33,29,MOG,3_Pts_T,Shamell
280,3,10:00,33,29,,inicio_quarto,
281,2,00:00,33,29,MOG,substituicao_entra,Shamell
