,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,84,82,,fim_partida,
1,4,00:00,84,82,,fim_quarto,
2,4,00:01,84,82,BRA,2_Pts_C,Nezinho
3,4,00:08,82,82,COR,substituicao_entra,Humberto
4,4,00:08,82,82,COR,substituicao_sai,Aguiar
5,4,00:08,82,82,COR,substituicao_entra,Shilton
6,4,00:08,82,82,COR,substituicao_sai,Giovannoni
7,4,00:08,82,82,BRA,tempo_tecnico,Universo/Caixa/Brasília
8,4,00:08,82,82,COR,LL_Pts_C,Aguiar
9,4,00:08,82,81,COR,LL_Pts_C,Aguiar
10,4,00:08,82,80,COR,FR,Aguiar
11,4,00:08,82,80,BRA,FC,Zach Graham
12,4,00:13,82,80,COR,substituicao_entra,Giovannoni
13,4,00:13,82,80,COR,substituicao_sai,Humberto
14,4,00:13,82,80,BRA,substituicao_entra,Ronald
15,4,00:13,82,80,BRA,substituicao_sai,P Rava
16,4,00:13,82,80,COR,tempo_tecnico,Corinthians
17,4,00:14,82,80,BRA,LL_Pts_C,Zach Graham
18,4,00:14,81,80,BRA,LL_Pts_T,Zach Graham
19,4,00:14,81,80,BRA,FR,Zach Graham
20,4,00:14,81,80,COR,FC,Teichmann
21,4,00:43,81,80,COR,LL_Pts_C,Fuller
22,4,00:43,81,79,COR,LL_Pts_C,Fuller
23,4,00:43,81,78,BRA,substituicao_entra,Nezinho
24,4,00:43,81,78,BRA,substituicao_sai,Arthur
25,4,00:43,81,78,COR,FR,Fuller
26,4,00:43,81,78,BRA,FC,Arthur
27,4,00:43,81,78,BRA,substituicao_entra,Graterol
28,4,00:43,81,78,BRA,substituicao_sai,Ronald
29,4,00:44,81,78,COR,tempo_tecnico,Corinthians
30,4,00:46,81,78,BRA,LL_Pts_C,Zach Graham
31,4,00:46,80,78,BRA,LL_Pts_C,Zach Graham
32,4,00:46,79,78,BRA,substituicao_entra,P Rava
33,4,00:46,79,78,BRA,substituicao_sai,Nezinho
34,4,00:46,79,78,BRA,FR,Zach Graham
35,4,00:46,79,78,COR,FC,Humberto
36,4,00:48,79,78,COR,substituicao_entra,Humberto
37,4,00:48,79,78,COR,substituicao_sai,Humberto
38,4,00:48,79,78,BRA,tempo_tecnico,Universo/Caixa/Brasília
