,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,74,54,,fim_partida,
1,4,00:00,74,54,,fim_quarto,
2,4,00:25,74,54,CAX,2_Pts_C,Eddy
3,4,00:41,74,52,CAX,RD,R Stabile
4,4,00:45,74,52,BAU,3_Pts_T,Gabriel Jaú
5,4,00:57,74,52,BAU,BR,Larry Taylor
6,4,00:57,74,52,CAX,ER,R Stabile
7,4,01:08,74,52,CAX,RD,Pedro
8,4,01:12,74,52,BAU,2_Pts_T,Gabriel Jaú
9,4,01:31,74,52,CAX,AS,Nico
10,4,01:31,74,52,CAX,EN,Adriano Big
11,4,01:49,74,50,BAU,substituicao_entra,Larry Taylor
12,4,01:49,74,50,BAU,substituicao_sai,Alexey Borges
13,4,01:49,74,50,BAU,LL_Pts_C,Gabriel Jaú
14,4,01:49,73,50,BAU,AS,Gui Deodato
15,4,01:49,73,50,BAU,LL_Pts_C,Gabriel Jaú
16,4,01:49,72,50,BAU,FR,Gabriel Jaú
17,4,01:49,72,50,CAX,FC,R Stabile
18,4,01:49,72,50,BAU,RD,Gui Deodato
19,4,01:55,72,50,CAX,3_Pts_T,Eddy
20,4,02:20,72,50,BAU,AS,Alexey Borges
21,4,02:20,72,50,BAU,2_Pts_C,João Pedro
22,4,02:43,70,50,BAU,substituicao_entra,João Pedro
23,4,02:43,70,50,BAU,substituicao_sai,Dikembe
24,4,02:43,70,50,BAU,tempo_tecnico,Bauru
25,4,02:43,70,50,CAX,AS,Pedro
26,4,02:43,70,50,CAX,3_Pts_C,R Stabile
27,4,02:58,70,47,CAX,RD,Eddy
28,4,03:03,70,47,BAU,2_Pts_T,Gui Deodato
29,4,03:08,70,47,BAU,substituicao_entra,Alexei Patrício
30,4,03:08,70,47,BAU,substituicao_sai,Larry Taylor
31,4,03:17,70,47,BAU,RD,Dikembe
32,4,03:23,70,47,BAU,ER,
33,4,03:23,70,47,CAX,3_Pts_T,R Stabile
34,4,03:47,70,47,CAX,substituicao_entra,Eddy
35,4,03:47,70,47,CAX,substituicao_entra,Nico
36,4,03:47,70,47,CAX,substituicao_entra,R Stabile
37,4,03:47,70,47,CAX,substituicao_entra,Pedro
38,4,03:47,70,47,CAX,substituicao_entra,Adriano Big
39,4,03:47,70,47,CAX,substituicao_sai,Shilton
40,4,03:47,70,47,CAX,substituicao_sai,Antonio
41,4,03:47,70,47,CAX,substituicao_sai,Pedro
42,4,03:47,70,47,CAX,substituicao_sai,Da Silva
43,4,03:47,70,47,CAX,substituicao_sai,Eugeniusz
44,4,03:47,70,47,BAU,RO,Bauru
45,4,03:47,70,47,BAU,2_Pts_T,Alexey Borges
46,4,04:11,70,47,CAX,3_Pts_C,Pedro
47,4,04:30,70,44,CAX,RD,Da Silva
48,4,04:34,70,44,BAU,3_Pts_T,Gabriel Jaú
49,4,04:46,70,44,BAU,RD,Dikembe
50,4,04:51,70,44,CAX,2_Pts_T,Shilton
51,4,04:59,70,44,CAX,RD,Antonio
52,4,05:04,70,44,BAU,3_Pts_T,Alexey Borges
53,4,05:17,70,44,BAU,RD,Dikembe
54,4,05:21,70,44,CAX,3_Pts_T,Pedro
55,4,05:46,70,44,CAX,tempo_tecnico,Caxias do Sul
56,4,05:46,70,44,BAU,2_Pts_C,Dikembe
57,4,05:46,68,44,BAU,RO,Dikembe
58,4,05:46,68,44,CAX,TO,Antonio
59,4,05:46,68,44,BAU,2_Pts_T,Dikembe
60,4,05:46,68,44,BAU,RD,Larry Taylor
